1136, 773, 1247, 764, 1249, 786, 1138, 795
121, 426, 213, 421, 215, 447, 123, 452
1074, 1374, 1170, 1369, 1172, 1403, 1076, 1409
110, 475, 201, 470, 202, 495, 111, 500
107, 400, 189, 396, 191, 418, 108, 422
1242, 1271, 1341, 1267, 1342, 1289, 1243, 1293
124, 501, 212, 498, 212, 520, 125, 523
527, 1471, 638, 1460, 640, 1484, 529, 1494
1184, 796, 1278, 790, 1279, 814, 1186, 820
396, 229, 476, 237, 474, 260, 393, 252
1272, 1989, 1374, 1984, 1375, 2008, 1274, 2013
508, 1443, 601, 1435, 603, 1462, 510, 1469
721, 105, 823, 103, 824, 129, 722, 131
320, 869, 409, 875, 407, 899, 318, 894
93, 328, 163, 322, 165, 346, 95, 351
520, 2026, 639, 2023, 640, 2048, 521, 2051
79, 300, 159, 296, 160, 319, 80, 324
749, 1270, 849, 1264, 850, 1284, 751, 1290
967, 2016, 1059, 2014, 1059, 2035, 967, 2038
172, 1472, 270, 1468, 271, 1489, 173, 1494
171, 921, 275, 918, 275, 941, 172, 943
528, 2053, 642, 2049, 643, 2073, 529, 2077
359, 133, 452, 127, 453, 149, 360, 156
1066, 1268, 1172, 1265, 1173, 1290, 1067, 1293
83, 920, 178, 923, 177, 945, 82, 942
839, 1992, 924, 1986, 926, 2010, 841, 2017
781, 2069, 852, 2066, 853, 2090, 782, 2093
1174, 1245, 1288, 1241, 1288, 1262, 1175, 1265
762, 132, 857, 129, 858, 153, 763, 157
826, 1243, 918, 1240, 919, 1262, 827, 1265
666, 210, 762, 207, 763, 232, 667, 234
81, 1472, 162, 1468, 163, 1490, 82, 1494
363, 160, 448, 154, 449, 175, 364, 181
795, 821, 891, 810, 894, 833, 798, 845
927, 121, 1013, 117, 1014, 139, 928, 144
857, 2068, 948, 2065, 949, 2089, 858, 2092
1172, 1989, 1263, 1987, 1264, 2010, 1172, 2013
259, 844, 352, 845, 351, 868, 259, 867
1034, 122, 1129, 118, 1130, 141, 1035, 145
195, 1443, 277, 1446, 276, 1468, 194, 1466
153, 891, 262, 899, 260, 924, 151, 916
933, 1239, 1045, 1242, 1044, 1265, 933, 1262
77, 1447, 163, 1439, 165, 1462, 79, 1470
69, 2057, 153, 2051, 155, 2073, 71, 2079
822, 1317, 922, 1315, 922, 1340, 822, 1341
93, 375, 175, 373, 176, 400, 94, 402
932, 1267, 1034, 1264, 1035, 1286, 933, 1289
1301, 2017, 1390, 2009, 1392, 2032, 1303, 2040
102, 451, 171, 447, 173, 471, 104, 476
230, 795, 316, 792, 317, 815, 231, 818
1169, 1293, 1288, 1288, 1289, 1314, 1170, 1319
171, 2031, 286, 2026, 287, 2049, 172, 2055
887, 2044, 967, 2039, 969, 2062, 888, 2067
757, 1295, 839, 1291, 840, 1313, 758, 1316
342, 843, 412, 847, 411, 869, 341, 865
788, 798, 886, 791, 888, 816, 790, 824
143, 346, 240, 348, 239, 376, 142, 373
1207, 2016, 1312, 2011, 1313, 2034, 1208, 2039
151, 2056, 267, 2051, 268, 2075, 152, 2079
441, 180, 530, 186, 528, 214, 439, 208
1304, 1294, 1376, 1292, 1376, 1316, 1305, 1319
982, 1295, 1074, 1291, 1075, 1316, 983, 1321
969, 144, 1076, 142, 1077, 168, 969, 169
658, 185, 748, 183, 749, 208, 659, 210
1061, 145, 1179, 141, 1180, 167, 1062, 172
91, 2032, 177, 2025, 179, 2049, 93, 2055
750, 187, 825, 182, 826, 204, 751, 209
1284, 122, 1358, 120, 1358, 142, 1284, 145
822, 2017, 912, 2013, 913, 2035, 823, 2039
1292, 150, 1376, 147, 1376, 168, 1293, 170
1251, 820, 1338, 818, 1339, 843, 1251, 845
130, 794, 221, 789, 222, 814, 132, 819
1100, 822, 1188, 816, 1190, 837, 1101, 844
1131, 2042, 1206, 2039, 1207, 2062, 1132, 2066
1262, 2043, 1353, 2036, 1355, 2062, 1264, 2069
457, 155, 533, 157, 532, 183, 456, 181
632, 131, 703, 136, 701, 158, 631, 153
181, 374, 251, 375, 251, 398, 180, 397
156, 327, 240, 324, 241, 346, 157, 349
444, 208, 505, 213, 503, 233, 443, 228
1181, 817, 1263, 819, 1263, 844, 1180, 842
1140, 123, 1219, 120, 1220, 142, 1141, 145
917, 1993, 1003, 1987, 1004, 2011, 918, 2016
506, 1418, 585, 1420, 585, 1441, 505, 1438
991, 1992, 1080, 1989, 1081, 2012, 992, 2015
265, 896, 363, 899, 362, 921, 264, 918
81, 1421, 159, 1413, 161, 1433, 83, 1441
641, 2053, 718, 2049, 719, 2070, 642, 2073
323, 794, 406, 793, 406, 815, 323, 816
680, 156, 754, 159, 753, 183, 679, 180
925, 99, 996, 95, 998, 116, 926, 120
279, 2053, 386, 2055, 386, 2078, 279, 2076
1087, 1990, 1166, 1985, 1168, 2011, 1088, 2016
1115, 2016, 1198, 2012, 1199, 2035, 1116, 2038
1282, 96, 1372, 99, 1371, 120, 1281, 117
366, 110, 430, 105, 431, 125, 368, 130
333, 819, 426, 816, 427, 846, 334, 849
784, 2043, 831, 2040, 833, 2062, 785, 2064
422, 106, 498, 104, 499, 127, 423, 129
98, 351, 150, 349, 150, 370, 99, 372
748, 159, 824, 160, 824, 183, 747, 182
1076, 1294, 1166, 1291, 1167, 1314, 1077, 1317
1132, 98, 1228, 94, 1229, 118, 1133, 122
79, 849, 141, 847, 141, 866, 80, 868
84, 825, 160, 824, 161, 845, 84, 846
262, 871, 343, 873, 343, 897, 262, 896
1105, 1243, 1179, 1241, 1179, 1265, 1105, 1267
1065, 2041, 1142, 2038, 1143, 2062, 1067, 2066
629, 105, 703, 108, 703, 131, 629, 128
1156, 144, 1231, 147, 1230, 170, 1155, 168
999, 93, 1087, 94, 1086, 121, 999, 120
859, 1268, 948, 1264, 949, 1285, 860, 1289
384, 2032, 453, 2027, 454, 2049, 386, 2055
775, 2016, 827, 2011, 830, 2037, 777, 2042
237, 2057, 299, 2051, 302, 2072, 239, 2079
229, 818, 335, 820, 334, 853, 228, 851
849, 1293, 938, 1292, 939, 1319, 849, 1320
1102, 797, 1181, 793, 1182, 814, 1103, 819
1017, 2042, 1086, 2043, 1085, 2065, 1016, 2064
754, 1318, 821, 1318, 822, 1340, 755, 1341
387, 795, 451, 797, 451, 817, 386, 815
892, 2016, 973, 2012, 974, 2035, 894, 2039
740, 822, 807, 815, 809, 840, 742, 846
923, 146, 987, 142, 988, 165, 924, 169
437, 127, 512, 130, 512, 155, 436, 152
1213, 147, 1303, 146, 1303, 168, 1214, 170
827, 2044, 917, 2034, 920, 2059, 830, 2069
489, 1473, 550, 1465, 552, 1484, 492, 1492
377, 2056, 447, 2053, 448, 2073, 378, 2075
702, 131, 767, 132, 766, 156, 702, 155
1042, 87, 1158, 85, 1158, 133, 1043, 134
462, 2055, 536, 2051, 537, 2075, 463, 2079
979, 2042, 1025, 2041, 1026, 2065, 980, 2066
404, 823, 468, 822, 469, 841, 404, 842
1037, 1242, 1124, 1241, 1125, 1264, 1037, 1266
1061, 2012, 1141, 2016, 1140, 2041, 1060, 2037
750, 801, 798, 796, 800, 815, 752, 820
1202, 2041, 1288, 2036, 1290, 2062, 1203, 2067
240, 924, 295, 931, 293, 948, 237, 942
